feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:neg_FRN1.mzML:area,datafile:neg_FRN2.mzML:area,datafile:neg_FRN3.mzML:area,datafile:neg_FRN4.mzML:area,datafile:neg_FRN5.mzML:area,datafile:neg_HFO1.mzML:area,datafile:neg_HFO2.mzML:area,datafile:neg_HFO3.mzML:area,datafile:neg_HFO4.mzML:area,datafile:neg_HFO5.mzML:area
P26390,18.716,920.76864,920.77017,1.66165244,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COC(=O)CCCCCCCC=CCC=CCCCCC,[M+NH4]+,TG 18:2_18:2_20:4,"TG 18:2(9,12)_18:2(9,12)_20:4(8,11,14,17)",0.7045,0.7101225,0.634978812,0.649445299,Some,Some,460296.4301,494500.8883,367141.2728,405210.8576,224673.0503,2527410.806,3136884.485,3153291.654,2558999.58,2651413.549
P26390,18.716,920.76864,920.77017,1.66165244,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCC=CCC=CCC=CCC=CCC)COC(=O)CCCCC=CCC=CCCCCCCCC,[M+NH4]+,TG 18:2_18:2_20:4,"TG 18:2(6,9)_18:2(9,12)_20:4(8,11,14,17)",0.613428571,0.788995714,0.544750833,0.576043095,Some,Some,334102.1634,361819.2731,300175.2048,304501.9457,163772.7977,1663334.289,2186582.728,2178925.545,1806837.077,1720924.635
P26390,18.716,920.76864,920.77017,1.66165244,C59H98O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCC=CCC=CCC=CCC=CCCCCC)COC(=O)CCCCCCCC=CCC=CCCCCC,[M+NH4]+,TG 18:2_18:2_20:4,"TG 18:2(9,12)_18:2(9,12)_20:4(5,8,11,14)",0.567,0.6666625,0.522733271,0.541552867,Some,Some,175601.4065,153679.8387,100683.5224,114287.1967,62554.15207,889254.9052,1106532.788,947782.8016,864163.3424,907661.8162
P26426,18.725,846.74527,846.75452,10.92406333,C53H96O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_18:1,TG 16:1(6)_16:1(6)_18:1(9),0.931,0.88811,0.440833973,0.534578178,Some,Some,0,0,0,0,59074.76636,0,0,0,0,0
P26426,18.725,846.74527,846.75452,10.92406333,C53H96O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_18:1,TG 16:1(6)_16:1(6)_18:1(11),0.665,0.86543,0.450045294,0.513079235,Some,Some,0,0,0,0,30616.82243,0,0,0,0,0
P26426,18.725,846.74527,846.75452,10.92406333,C53H96O6,CCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COC(=O)CCCCC=CCCCCCCCCC,[M+NH4]+,TG 16:1_16:1_18:1,TG 16:1(6)_16:1(6)_18:1(6),0.827,0.855405,0.414346127,0.499717401,Some,Some,0,0,0,0,183308.4112,0,0,0,0,0
P26433,18.727,844.73786,844.73887,1.195635759,C53H94O6,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_18:2_18:2,"TG 14:0_18:2(9,12)_18:2(9,12)",0.8935,0.7073525,0.358122239,0.446583041,All,Some,694507.767,676737.6495,580698.2774,666907.913,326138.6139,2637834.003,2915662.105,3018019.865,2797844.418,2706559.961
P26433,18.727,844.73786,844.73887,1.195635759,C53H94O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_18:2_18:2,"TG 14:0_18:2(6,9)_18:2(9,12)",0.869666667,0.767425,0.339095691,0.43498572,Some,Some,2144789.32,2122442.952,1318347.021,1967255.9,685884.017,3810711.752,3848490.891,4387831.819,4236587.029,3925328.402
P26433,18.727,844.73786,844.73887,1.195635759,C53H94O6,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COC(=O)CCCCCCCCCCCCC,[M+NH4]+,TG 14:0_18:2_18:2,"TG 14:0_18:2(6,9)_18:2(6,9)",0.7095,0.681515,0.289107193,0.370387254,All,All,2090702.913,2040819.399,1120954.702,1775836.187,607977.3692,3201454.245,3335847.004,3894148.316,3465568.553,3468111.637
P26442,18.731,849.69384,849.69426,0.494295442,C53H94O6,CCCCCCCCC=CCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCC=CCC)COC(=O)CCCCCCCCCCCCCCC,[M+Na]+,TG 16:0_16:1_18:3,"TG 16:0_16:1(7)_18:3(9,12,15)",0.9412,0.965982,0,0.1907182,Some,None,223192.3077,185743.0341,113780.4296,179301.9041,128000,193831.7757,113898.4485,128528.6912,190420.7792,147168.9847
