feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_NIST_2.mzML:area,datafile:NEG_NIST_0.mzML:area,datafile:NEG_NIST_1.mzML:area,datafile:NEG_NIST_3.mzML:area
12802,15.485,787.49847,787.58584,110.93393959439955,C44H85O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:2_18:0,"PG O-20:2(11,14)_18:0",0.8895,0.709027500000019,0.0,0.1598527500000019,All,None,29950.976361767727,17410.909090909092,11749.476688867744,11377.06137631742
12821,15.493,818.60328,818.59166,14.195111638437073,C42H82NO8P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+CH3COO]-,PC 16:0_18:1,PC 16:0_18:1(9),0.629999999999999,0.8584400000000301,0.2852643944801799,0.37705551558414685,All,All,0.0,116849.56955142727,91314.2956040152,77366.35354397951
12821,15.493,818.60328,818.59166,14.195111638437073,C42H82NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+CH3COO]-,PC 16:0_18:1,PC 16:0_18:1(11),0.9980000000000011,0.9939800000000787,0.0,0.19919800000000798,All,None,0.0,0.0,90210.79958463136,56023.911187019636
12821,15.493,818.60328,818.59166,14.195111638437073,C42H82NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+CH3COO]-,PC 16:0_18:1,PC 16:0_18:1(6),0.9169999999999998,0.8820700000001125,0.0,0.17990700000001125,All,None,812000.0,814150.4304485727,615474.9048113533,647609.7352690008
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(6)_18:2(6,9)",0.7525000000000004,0.8601425000000233,0.13037296873169082,0.26556262498535504,Some,Some,0.0,3246.659113357736,8154.129424383269,0.0
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(6)_18:2(9,12)",0.7886666666666665,0.8894266666667173,0.08691531248779388,0.23734158332357347,All,Some,0.0,0.0,1414.4440471934215,0.0
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(9)_18:2(9,12)",0.9045000000000005,0.9290225000000305,0.0,0.1833522500000031,Some,None,0.0,3381.630933705188,7674.0614944583485,0.0
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(11)_18:2(9,12)",0.8887999999999998,0.9271360000000414,0.0,0.18159360000000413,All,Some,0.0,964.4616814827724,2566.6070790132285,0.0
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(11)_18:2(6,9)",0.8864000000000004,0.8807900000000245,0.0,0.1767190000000025,All,Some,0.0,1169.2667480099938,1487.03968537719,0.0
12868,15.507,784.54998,784.51341,46.61488195591626,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(9)_18:2(6,9)",0.8940000000000001,0.8696750000000293,0.0,0.17636750000000295,Some,None,0.0,1337.9815234443086,4903.718269574545,0.0
12993,15.55,787.49811,787.58584,111.3910326269515,C44H85O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:2_18:0,"PG O-20:2(8,11)_18:0",0.8365000000000009,0.8606450000000336,0.0,0.16971450000000346,All,None,0.0,21161.290322580644,0.0,3940.1944894651538
12993,15.55,787.49811,787.58584,111.3910326269515,C44H85O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-20:2_18:0,"PG O-20:2(11,14)_18:0",0.8399999999999999,0.7086225000000184,0.0,0.15486225000000184,All,None,0.0,28038.709677419356,0.0,28259.805510534843
13056,15.578,804.57675,804.57601,0.9197390808988563,C42H82NO8P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(9),0.6480000000000015,0.8882449999999267,0.24821968688324078,0.35220024950658546,All,Some,0.0,0.0,0.0,0.0
13056,15.578,804.57675,804.57601,0.9197390808988563,C42H82NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(11),0.9550000000000001,0.8707149999999615,0.0,0.18257149999999617,All,None,0.0,0.0,0.0,0.0
13056,15.578,804.57675,804.57601,0.9197390808988563,C42H82NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,[M+HCOO]-,PC 16:0_18:1,PC 16:0_18:1(6),0.8450000000000006,0.8722750000000019,0.0,0.17172750000000025,All,None,0.0,53800.0,0.0,0.0
13413,15.767,699.49714,699.49703,0.15725584989210087,C39H73O8P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)O,[M-H]-,PA 18:0_18:2,"PA 18:0_18:2(9,12)",0.7895000000000012,0.7333074999999951,0.15578424261730742,0.27690814409384557,All,Some,203763.660364905,100657.30337078651,304620.11418533156,291653.16400262754
13413,15.767,699.49714,699.49703,0.15725584989210087,C39H73O8P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)O,[M-H]-,PA 18:0_18:2,"PA 18:0_18:2(6,9)",0.7340000000000005,0.8972699999999728,0.0,0.16312699999999736,Some,None,627236.3396350951,186342.6966292135,573379.8858146685,798346.8359973725
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(6)_18:2(6,9)",0.8986666666666672,0.8418766666667352,0.2060659274664567,0.3389070753065056,Some,Some,52778.29433732185,34608.838626884826,46444.01300343146,46712.64847386468
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(6)_18:2(9,12)",0.9186666666666673,0.8776733333333672,0.10303296373322834,0.26206037098658613,All,Some,126074.23214694,82438.24189926211,111312.62416471014,96567.01044369402
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(9)_18:2(9,12)",0.9699999999999998,0.8954700000000173,0.0,0.1865470000000017,Some,None,39958.84460025912,34895.73307667629,32753.070254650538,25838.820292840657
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(11)_18:2(9,12)",0.9456666666666665,0.9051066666666733,0.0,0.18507733333333398,All,None,113254.78240987728,85892.68527430222,97621.6814159292,77220.2302567245
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(9)_18:2(6,9)",0.9299999999999997,0.8665800000000559,0.0,0.17965800000000556,Some,None,9100.830729365141,3167.548925248637,0.0,7426.626856330756
13452,15.775,784.54962,784.51341,46.15599878653796,C42H76NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCC=CCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:1_18:2,"PS 18:1(11)_18:2(6,9)",0.9059999999999995,0.8836820000000216,0.0,0.17896820000000213,All,None,86833.01577623657,50996.95219762592,64868.61116127866,66234.66367654537
13480,15.783,786.56488,786.52906,45.54186465794146,C42H78NO10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:0_18:2,"PS 18:0_18:2(9,12)",0.9829999999999988,0.9305950000000109,0.0,0.19135950000000096,All,None,81835.24504692387,43867.28547447418,27873.07132459971,74564.70911841563
13480,15.783,786.56488,786.52906,45.54186465794146,C42H78NO10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCCCC)COP(=O)(O)OCC(N)C(=O)O,[M-H]-,PS 18:0_18:2,"PS 18:0_18:2(6,9)",0.6044999999999998,0.8784200000000624,0.0,0.14829200000000622,All,None,62164.75495307612,36032.71452552582,46926.92867540029,69435.29088158438
