name,datafile:pos_hela_HG1_O3.mzML:area,datafile:pos_hela_HG2_O3.mzML:area,datafile:pos_hela_HG3_O3.mzML:area,datafile:pos_hela_HG4_O3.mzML:area,datafile:pos_hela_HG5_O3.mzML:area,datafile:pos_hela_HG6_O3.mzML:area,datafile:pos_hela_LG1_O3.mzML:area,datafile:pos_hela_LG2_O3.mzML:area,datafile:pos_hela_LG3_O3.mzML:area,datafile:pos_hela_LG4_O3.mzML:area,datafile:pos_hela_LG5_O3.mzML:area,datafile:pos_hela_LG6_O3.mzML:area
group,HG,HG,HG,HG,HG,HG,LG,LG,LG,LG,LG,LG
"PC(18:3(9,12,15)_18:3(6,9,12))",686620,663920,573290,578820,446430,436910,262530,291210,356020,338260,333280,302920
PC(20:1(9)_20:1(9)),117100,154100,117300,105400,81670,78610,43340,38940,58170,48850,55430,58580
"PC(20:2(11,14)_20:2(11,14))",85390,183320,259640,272300,214630,117300,94180,79020,82380,0,93230,112300
"PC(20:3(8,11,14)_20:3(8,11,14))",2148310,2013750,1736650,1855040,1765900,1811380,391700,522500,419700,488700,424300,487710
"PC(20:4(5,8,11,14)_20:4(5,8,11,14))",133000,125400,98580,110400,107500,115600,45590,49090,46060,44410,47590,48850
"PC(20:5(5,8,11,14,17)_20:5(5,8,11,14,17))",31870,32440,29720,27900,31650,27230,0,9705,8886,8137,10460,9392
PC(22:0_14:1(9)),9252000,9456000,8206000,7689000,7174000,7818000,1820000,1990000,2148000,2220000,2156000,2264000
"PE(14:0_20:5(5,8,11,14,17))",21140,18110,17030,14460,11370,10150,7172,5971,8348,7916,5742,8053
"PE(14:0_22:6(4,7,10,13,16,19))",100100,91374,93880,80360,62271,43520,70120,63610,80930,77426,87476,81750
PE(16:0_16:1(9)),1420900,1549100,1334800,1046200,977100,712500,831500,837200,959800,986000,1014000,1075500
PE(16:0_18:1(9)),4411000,4616000,4182000,3626000,3235000,2716000,2192000,2317000,2324000,2330000,2478000,2488000
"PE(16:0_20:3(8,11,14))",0,0,0,0,5369,7230,0,0,0,0,0,0
"PE(16:0_20:5(5,8,11,14,17))",0,0,0,0,0,0,0,0,0,0,60160,0
"PE(16:0_22:6(4,7,10,13,16,19))",114400,126700,261300,543700,273300,308400,264100,126300,231800,398500,140000,143900
PE(16:1(11)_16:1(11)),458100,507900,472500,330700,298200,176300,332600,306300,416600,424800,479100,509000
PE(16:1(9)_18:1(9)),2653000,2734000,2385000,1926000,1559000,1190000,2083000,1839000,2193000,2383000,2429000,2543000
"PE(16:1(9)_18:2(9,12))",288200,314700,287300,226300,208900,155700,303500,267000,351500,343400,394800,435000
"PE(16:1(9)_20:4(5,8,11,14))",1185200,1127000,1030800,982400,810200,649400,469300,445700,498300,471700,520500,555200
"PE(16:1(9)_22:6(4,7,10,13,16,19))",40190,43820,114600,0,64600,67840,50520,45720,66920,111300,0,53730
PE(18:0_18:1(9)),2519000,2477000,2265000,2160000,1959000,1776000,681800,786500,760000,731500,783300,793200
PE(18:1(9)_18:1(9)),6028000,6183000,5463000,4865000,4055000,3246000,3624000,3672000,3763000,3623000,4106000,4089000
"PE(18:1(9)_18:2(9,12))",2999700,2364000,1986000,1916000,2083000,1689200,1874000,1830000,1949000,1967000,2193000,2262000
PE(18:1(9)_20:1(11)),608500,645500,584400,479700,397400,274800,266500,250800,276400,278200,314000,311700
"PE(18:1(9)_20:4(5,8,11,14))",5131000,4861700,4254100,4558500,3961900,3464200,1689100,1752000,1603500,1553000,1663600,1669200
"PE(18:1(9)_20:5(5,8,11,14,17))",1173000,1072000,960800,945800,750900,588500,674300,665500,667800,649600,747200,770700
"PE(18:1(9)_22:2(13,16))",21180,22390,0,0,0,0,3802,24640,0,18505,0,11580
"PE(18:1(9)_22:6(4,7,10,13,16,19))",205500,228200,290900,0,270000,331200,245200,230900,256700,413500,228700,289200
"PE(18:2(9,12)_18:2(9,12))",1771200,1653100,1425200,1479900,1325640,1003030,693000,635300,698900,662300,721700,772900
"PE(18:2(9,12)_22:6(4,7,10,13,16,19))",0,0,0,15000,0,0,0,0,0,0,0,0
"PE(20:1(11)_20:3(8,11,14))",0,0,0,0,0,0,0,0,0,0,0,0
"PE(20:4(5,8,11,14)_20:4(5,8,11,14))",352700,330900,302900,341800,321000,302000,150700,162000,140700,136200,147700,136100
"PE(20:5(5,8,11,14,17)_20:5(5,8,11,14,17))",60340,51080,51726,57670,43690,34520,20620,20860,17180,17500,18530,18240
PG(14:0_16:1(9)),0,0,0,6883,0,0,0,0,0,0,0,0
PG(14:0_18:1(9)),131200,121300,127600,0,123400,146900,144400,111700,117000,128200,27910,140900
PG(16:0_16:1(9)),89520,69770,35310,156640,26990,31310,22010,85410,35010,36060,143850,90640
