row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,neg_FRN5_O3.mzML Peak area,neg_FRN4_O3.mzML Peak area,neg_FRN3_O3.mzML Peak area,neg_FRN2_O3.mzML Peak area,neg_FRN1_O3.mzML Peak area,neg_HFO1_O3.mzML Peak area,neg_HFO3_O3.mzML Peak area,neg_HFO2_O3.mzML Peak area,neg_HFO5_O3.mzML Peak area,neg_HFO4_O3.mzML Peak area,
152,283.95820293763154,0.10681152,,,,,,,,,,,21043.664,8799.977,10967.855,16660.775,10358.391,12813.766,15179.513,9337.366,10435.9,16108.173,
153,271.88778690706977,0.10767279,,,,,,,,,,,0,6098.3467,10010.244,0,16140.928,17227.912,21108.904,16056.208,25625.363,20365.803,
154,367.8571978071763,0.108427964,,,,,,,,,,,0,4687.078,0,0,3493.6504,0,0,0,1969.3035,0,
155,356.8512700359389,0.10913667,,,,,,,,,,,0,0,16578.646,0,0,0,9534.383,0,0,0,
156,283.9218419327644,0.10965233,,,,,,,,,,,0,0,0,0,0,0,0,0,2568.431,0,
157,482.1041449532101,0.10965233,,,,,,,,,,,0,0,0,0,0,0,0,0,6372.4414,0,
158,433.8289792613579,0.11058336,,,,,,,,,,,0,30448.719,0,35467.156,0,0,15186.02,34762.082,0,0,
159,324.91160299768853,0.11069267,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3015.8447,
160,486.09842781326614,0.11184881,,,,,,,,,,,4026.7725,0,4725.902,5178.2676,2263.8423,0,7131.697,7395.887,7411.2847,4182.383,
161,546.1648137578362,0.11297984,,,,,,,,,,,0,0,0,0,0,9022.329,5841.9204,3978.684,0,4587.7153,
162,415.984667720708,0.11557281,,,,,,,,,,,0,4497.326,5696.368,0,0,9634.7,5519.1533,0,0,10838.238,
163,250.93187843148758,0.11581107,,,,,,,,,,,0,0,0,0,0,3650.3003,3665.3875,0,0,4735.975,
164,219.942188757615,0.11681222,,,,,,,,,,,0,8812.416,6772.4805,8622.216,6915.374,6287.353,0,2726.0288,4437.8804,5050.545,
165,233.87822094155675,0.116914764,,,,,,,,,,,0,0,3288.9983,0,0,0,4303.5176,0,0,0,
166,499.08139356606426,0.11830373,,,,,,,,,,,9347.547,0,0,0,5004.9316,0,0,0,0,0,
167,574.1891889587287,0.11848314,,,,,,,,,,,0,0,0,9197.012,0,11873.112,4638.1357,6719.08,9909.106,0,
168,311.8568188903342,0.11939255,,,,,,,,,,,6507.863,0,0,0,0,10009.505,7609.836,5569.015,10221.075,0,
169,751.7659330041595,0.12457118,,,,,,,,,,,0,0,0,0,0,1800.3955,0,0,0,0,
170,309.8596567456343,0.1256206,,,,,,,,,,,0,15374.189,0,0,0,0,0,0,0,0,
171,525.1884156652719,0.1256206,,,,,,,,,,,0,2429.752,0,0,0,0,0,0,0,0,
172,255.89828658563,0.12645693,,,,,,,,,,,0,0,0,0,5160.358,0,0,0,0,0,
173,295.83090840495714,0.13460954,,,,,,,,,,,0,7927.8154,0,9770.264,0,0,5379.9956,0,0,0,
174,250.89693097363775,0.13750646,,,,,,,,,,,0,0,0,0,0,0,0,0,4284.833,0,
175,361.89195267984917,0.13750646,,,,,,,,,,,0,0,0,0,0,0,0,0,790.1998,0,
176,263.917795473789,0.13812986,,,,,,,,,,,0,0,0,0,7370.633,0,0,0,0,0,
177,348.9228286380662,0.13841105,,,,,,,,,,,0,0,0,0,0,0,0,0,2668.8083,2366.2756,
178,275.8799146819555,0.13845655,,,,,,,,,,,0,5607.38,13004.809,6401.011,0,5084.6455,0,0,0,0,
179,560.0814282235085,0.13931563,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4236.1943,
180,338.8837971117035,0.13989983,,,,,,,,,,,0,0,0,0,3690.5068,0,0,0,0,4339.9863,
181,599.2174770070241,0.1430281,,,,,,,,,,,0,0,5505.5557,0,0,4594.2744,2555.1301,0,0,5588.2686,
182,668.1366835358148,0.14485788,,,,,,,,,,,0,6588.75,0,9398.951,0,0,7694.401,5278.948,7048.861,4515.5615,
183,584.171176292148,0.14629489,,,,,,,,,,,0,0,3913.4297,0,0,0,0,0,3723.5864,0,
184,420.8430990428596,0.14634177,,,,,,,,,,,21260.477,7283.9346,3298.2737,7922.389,8659.347,6116.6265,7978.684,9843.506,0,12244.373,
185,217.90765467999495,0.15278006,,,,,,,,,,,0,4456.547,4635.468,0,0,0,0,0,0,0,
186,282.8799867161495,0.15280405,,,,,,,,,,,0,0,2532.26,0,0,0,0,0,0,0,
187,255.89833088560022,0.15823327,,,,,,,,,,,16603.38,17649.979,14559.082,0,5005.486,6035.41,0,0,5599.981,0,
188,628.1963560673234,0.16228592,,,,,,,,,,,3616.1548,0,0,0,0,2570.2249,0,0,0,0,
189,607.0622201633871,0.16283359,,,,,,,,,,,13514.624,9945.721,0,0,0,0,0,0,0,0,
