feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:POS_liver1_0.mzML:area,datafile:POS_liver1_1.mzML:area,datafile:POS_liver1_2.mzML:area,datafile:POS_liver1_3.mzML:area
18349,9.927,838.55909,838.55926,0.2027286658614188,C46H77O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_22:6,"BMP 18:1(11)_22:6(4,7,10,13,16,19)",0.5878461538461541,0.6477915384615471,0.0,0.12356376923077013,Some,None,336074.1699830998,0.0,0.0,0.0
19000,10.244,814.55855,814.55926,0.8716370126667171,C44H77O10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(6)_20:4(8,11,14,17)",0.8554750000000007,0.9377400000000051,0.0,0.17932150000000058,Some,None,163766.66666666666,0.0,0.0,0.0
19000,10.244,814.55855,814.55926,0.8716370126667171,C44H77O10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(9)_20:4(8,11,14,17)",0.7456500000000008,0.9573012500000004,0.0,0.17029512500000013,Some,None,163766.66666666666,0.0,0.0,0.0
19000,10.244,814.55855,814.55926,0.8716370126667171,C44H77O10P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_20:4,"BMP 18:1(11)_20:4(8,11,14,17)",0.710311111111112,0.9605744444444326,0.0,0.16708855555555446,All,None,163766.66666666666,0.0,0.0,0.0
19928,10.4632,816.57387,816.57491,1.2736124846023613,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_20:3,"BMP 18:1(9)_20:3(11,14,17)",0.8547999999999997,0.645206666666771,0.22806443697222692,0.3324522162444586,Some,Some,0.0,234125.37379340266,161233.67855905322,168843.54553492487
19928,10.4632,816.57387,816.57491,1.2736124846023613,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_20:3,"BMP 18:1(11)_20:3(11,14,17)",0.8408999999999995,0.7587175000000173,0.1710483277291702,0.29680041218333786,All,Some,0.0,190319.68903487708,162732.6428818935,252612.9089301503
19928,10.4632,816.57387,816.57491,1.2736124846023613,C44H79O10P,CCC=CCC=CCC=CCCCCCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_20:3,"BMP 18:1(6)_20:3(11,14,17)",0.6858399999999996,0.6164500000000317,0.13683866218333615,0.23969992974667206,All,Some,0.0,151254.93717172032,161233.67855905322,168843.54553492487
21001,10.7653,866.59034,866.59056,0.2538684474164911,C48H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCC=CCC=CCC=CCCCCC,[M+NH4]+,BMP 20:3_22:4,"BMP 20:3(8,11,14)_22:4(7,10,13,16)",0.6675199999999997,0.34700400000001536,0.7065952804294955,0.6667286243435979,Some,Some,25636.42040833207,0.0,0.0,0.0
21001,10.7653,866.59034,866.59056,0.2538684474164911,C48H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCC=CCC=CCC=CCCCCCCCC,[M+NH4]+,BMP 20:3_22:4,"BMP 20:3(5,8,11)_22:4(7,10,13,16)",0.6846666666666668,0.41576333333335924,0.5888294003579129,0.5811065202863329,Some,Some,48076.0625318794,0.0,0.0,0.0
21001,10.7653,866.59034,866.59056,0.2538684474164911,C48H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCC=CCC=CCC,[M+NH4]+,BMP 20:3_22:4,"BMP 20:3(11,14,17)_22:4(7,10,13,16)",0.6982333333333338,0.4068300000000515,0.49122318528242714,0.5034848815592803,Some,Some,55187.51705978853,0.0,0.0,0.0
21585,10.9746,842.58961,842.59056,1.1274752472765708,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCC=CCCCCCCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(6)_22:4(7,10,13,16)",0.6445714285714287,0.8176985714286015,0.15191759232733304,0.2677610738618695,Some,Some,0.0,,349500.0,0.0
21585,10.9746,842.58961,842.59056,1.1274752472765708,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCC=CCCCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(9)_22:4(7,10,13,16)",0.7258333333333328,0.8175316666666959,0.12798495252238853,0.2567244620179137,Some,Some,0.0,,0.0,276910.03359135386
21585,10.9746,842.58961,842.59056,1.1274752472765708,C46H81O10P,CCCCCC=CCC=CCC=CCC=CCCCCCC(=O)OC(CO)COP(=O)(O)OCC(CO)OC(=O)CCCCCCCCCC=CCCCCCC,[M+NH4]+,BMP 18:1_22:4,"BMP 18:1(11)_22:4(7,10,13,16)",0.7169999999999992,0.8417512500000299,0.0959887143917914,0.23266609651343603,All,Some,0.0,,0.0,74689.96640864611
21625,10.9963,764.54318,764.54361,0.56242704054192,C40H75O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+NH4]+,PG 16:0_18:2,"PG 16:0_18:2(9,12)",0.7838000000000012,0.982799999999969,0.0,0.17665999999999704,All,None,0.0,,0.0,328655.2567237164
21625,10.9963,764.54318,764.54361,0.56242704054192,C40H75O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M+NH4]+,PG 16:0_18:2,"PG 16:0_18:2(6,9)",0.6629500000000004,0.8830675000000667,0.0,0.15460175000000673,All,None,0.0,,0.0,197744.7432762836
21877,11.0589,526.44676,526.4466,0.3039244627105317,C31H56O5,CCCCCCCCC=CCC=CCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(6,9)",0.9786000000000001,0.8709700000000566,0.0,0.1849570000000057,Some,None,0.0,,9883.348227409017,
21877,11.0589,526.44676,526.4466,0.3039244627105317,C31H56O5,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(9,12)",0.8424000000000005,0.8893475000000421,0.0,0.17317475000000426,All,None,0.0,,72886.65177259098,
21882,11.0595,526.44681,526.4466,0.398900857253585,C31H56O5,CCCCCC=CCC=CCCCCCCCC(=O)OC(CO)COC(=O)CCCCCCCCC,[M+NH4]+,DG 10:0_18:2,"DG 10:0_18:2(9,12)",0.8424000000000005,0.8893975000000296,0.0,0.17317975000000302,All,None,0.0,,0.0,
