feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
32294,15.1168,829.49976,829.53889,47.17078424135137,C48H79O9P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:5_20:4,"PG O-22:5(7,10,13,16,19)_20:4(8,11,14,17)",0.4921800000000001,0.6591019999999957,0.5289014881827239,0.5382493905461787,All,Some,45157.519295244485,157965.3020559732,13644.221573345341,62517.79211606833
32456,15.1392,716.52343,716.52358,0.2093441224586548,C39H76NO8P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(9),0.9581999999999979,0.905089999999916,0.06326865347446302,0.2369439227795618,All,Some,0.0,0.0,0.0,945370.2615847127
32456,15.1392,716.52343,716.52358,0.2093441224586548,C39H76NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(6),0.9835999999999991,0.8968000000000416,0.0,0.1880400000000041,All,None,101274.02543588437,0.0,0.0,0.0
32456,15.1392,716.52343,716.52358,0.2093441224586548,C39H76NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(11),0.6598000000000006,0.9615899999998874,0.0,0.16213899999998882,All,Some,1188725.9745641155,1283000.0,0.0,313629.7384152874
32475,15.1393,716.52369,716.52358,0.15351902298826,C39H76NO8P,CCCCCCC=CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(11),0.5759000000000007,0.9462649999999257,0.20550117562075934,0.3166174404966001,All,Some,0.0,0.0,0.0,0.0
32475,15.1393,716.52369,716.52358,0.15351902298826,C39H76NO8P,CCCCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(9),0.958499999999999,0.9049649999999474,0.06161785532928089,0.2356407842634194,All,Some,0.0,0.0,96998.65114652544,0.0
32475,15.1393,716.52369,716.52358,0.15351902298826,C39H76NO8P,CCCCCCCCCCCC=CCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN,[M-H]-,PE 16:0_18:1,PE 16:0_18:1(6),0.9835999999999991,0.8970600000000672,0.0,0.18806600000000664,All,None,0.0,0.0,1169001.3488534745,0.0
32543,15.1428,779.51956,779.52324,4.720834237130909,C44H77O9P,CCCCCCCCCCCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:6_16:0,"PG O-22:6(4,7,10,13,16,19)_16:0",0.6977111111111118,0.6671155555555465,0.25114588608590377,0.33739937553538885,All,Some,539900.0,487800.0,527600.0,522500.0
32834,15.2149,809.52873,809.57019,51.21235998083024,C46H83O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:5_18:0,"PG O-22:5(7,10,13,16,19)_18:0",0.8350571428571436,0.9020785714285792,0.14121624644182676,0.28668656858203373,All,Some,117450.7141309216,165916.07605877268,126005.68727134507,151265.92913738973
32834,15.2149,809.52873,809.57019,51.21235998083024,C46H83O9P,CCCCCCCCCCCCCCCCCC(=O)OC(COCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-22:5_18:0,"PG O-22:5(4,7,10,13,16)_18:0",0.914175,0.7499437499999928,0.07502828859528564,0.22643450587622782,All,Some,58749.285869078405,31883.923941227316,55494.312728654906,32634.07086261025
