feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_ion_detection_level,fragments_spectrum_detection_level,fragment_mz_delta,fragment_fatty_acid_pos,fragment_types,datafile:NEG_liver1_0.mzML:area,datafile:NEG_liver1_1.mzML:area,datafile:NEG_liver1_2.mzML:area,datafile:NEG_liver1_3.mzML:area
11241,10.608,781.41481,781.4069900000001,10.007589002914116,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCC=CCC=CCC=CCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(6,9,12,15,18)_18:2(9,12)",0.9183999999999983,0.9404800000000932,0.0,0.18588800000000916,Some,Some,-52.163199999999996,18,criegee,0.0,0.0,0.0,0.27916900617630547
10873,10.4702,647.2318,647.2285900000002,4.9596078564045,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.8060000000000009,0.9450900000001639,0.0,0.1751090000000165,Some,Some,-186.34159999999991,3,aldehyde,4.343283582089552,0.0,0.0,0.0
11204,10.5761,663.36111,663.2279900000001,200.71529248933325,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.9821999999999989,0.8151800000000549,0.0,0.1797380000000054,Some,Some,-170.3421999999999,3,criegee,0.0,0.0,0.0,0.5469960696238069
10904,10.4868,687.26323,687.29359,44.17326225896171,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.8392000000000017,0.9786599999999908,0.0,0.18178599999999925,Some,Some,-146.27659999999997,6,criegee,0.0,0.0,2.550593555681176,0.0
11186,10.5624,699.2635,699.2609900000001,3.5895038273415407,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.9904000000000011,0.9457900000001018,0.0,0.1936190000000103,Some,Some,-134.30919999999995,9,aldehyde,0.0,3.7378917378917382,0.0,0.0
10561,10.3747,783.39375,783.42299,37.32338771430813,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.615000000000002,0.97754000000009,0.7427021441789242,0.7534157153431487,Some,Some,-50.147200000000005,9,criegee,120.65671641791045,81.48148148148148,114.98021481062747,0.0
10843,10.4553,807.42364,807.48859,80.43457307559865,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.7761999999999993,0.9867499999999154,0.6553589602318591,0.7005821681854789,Some,Some,-26.081599999999995,12,aldehyde,0.0,0.0,1.0802713397399661,0.0
10535,10.3722,823.54644,823.4879900000001,70.97857006983158,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.6099999999999994,0.8898500000001377,0.7843179298906502,0.7774393439125339,Some,Some,-10.082199999999995,12,criegee,0.0,3.001139601139601,0.0,1.780460415496912
11134,10.5465,739.29512,739.32599,41.7542470000952,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.9586000000000006,0.9791700000000674,0.0,0.1937770000000068,Some,Some,-94.24419999999999,15,aldehyde,0.0,2.6894586894586894,0.0,0.0
10707,10.3906,743.36228,743.35799,5.771109018526494,C48H83O9P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(6,9)",0.6467999999999989,0.9440099999999347,0.6682076744360015,0.6936471395487945,Some,Some,-90.2122,15,criegee,202.98507462686567,134.8717948717949,134.99152063312604,0.0
10873,10.4702,647.2318,647.2285900000002,4.9596078564045,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.8060000000000009,0.9450900000001639,0.0,0.1751090000000165,Some,Some,-186.34159999999991,3,aldehyde,4.343283582089552,0.0,0.0,0.0
11204,10.5761,663.36111,663.2279900000001,200.71529248933325,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.9821999999999989,0.8151800000000549,0.0,0.1797380000000054,Some,Some,-170.3421999999999,3,criegee,0.0,0.0,0.0,0.5469960696238069
11241,10.608,781.41481,781.4069900000001,10.007589002914116,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.9183999999999983,0.9404800000000932,0.0,0.18588800000000916,Some,Some,-52.163199999999996,6,aldehyde,0.0,0.0,0.0,0.27916900617630547
10561,10.3747,783.39375,783.42299,37.32338771430813,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.615000000000002,0.97754000000009,0.7427021441789242,0.7534157153431487,Some,Some,-50.147200000000005,6,criegee,120.65671641791045,81.48148148148148,114.98021481062747,0.0
10843,10.4553,807.42364,807.48859,80.43457307559865,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.7761999999999993,0.9867499999999154,0.6553589602318591,0.7005821681854789,Some,Some,-26.081599999999995,9,aldehyde,0.0,0.0,1.0802713397399661,0.0
10535,10.3722,823.54644,823.4879900000001,70.97857006983158,C48H83O9P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COCCCCCCCCC=CCC=CCC=CCC=CCC=CCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG O-24:5_18:2,"PG O-24:5(9,12,15,18,21)_18:2(9,12)",0.6099999999999994,0.8898500000001377,0.7843179298906502,0.7774393439125339,Some,Some,-10.082199999999995,9,criegee,0.0,3.001139601139601,0.0,1.780460415496912
