feature_id,rt,mz_measured,mz_calculated,mz_error(ppm),mol_formula,smiles,adduct,primary_annotated_name,structure_annotated_name,rt_score,mz_score,spec_score,total_score,fragments_level,fragments_ms2_spectrum_level,datafile:neg_hela_HG1.mzML:area,datafile:neg_hela_HG2.mzML:area,datafile:neg_hela_HG3.mzML:area,datafile:neg_hela_HG4.mzML:area,datafile:neg_hela_HG5.mzML:area,datafile:neg_hela_HG6.mzML:area,datafile:neg_hela_LG1.mzML:area,datafile:neg_hela_LG2.mzML:area,datafile:neg_hela_LG3.mzML:area,datafile:neg_hela_LG4.mzML:area,datafile:neg_hela_LG5.mzML:area,datafile:neg_hela_LG6.mzML:area,datafile:neg_hela_S1.mzML:area,datafile:neg_hela_S2.mzML:area,datafile:neg_hela_S3.mzML:area,datafile:neg_hela_S4.mzML:area,datafile:neg_hela_S5.mzML:area,datafile:neg_hela_S6.mzML:area
N2625,5.302,691.45514,691.45556,0.607414307,C36H69O10P,CCCCCCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 14:0_16:1,PG 14:0_16:1(9),0.244,0.92418,0,0.116818,Some,None,,,0,,,,,,,,,,0,0,0,0,5593.149382,0
N2636,5.33,769.50191,769.50251,0.779724552,C42H75O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCC=CCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:2_18:2,"PG 18:2(9,12)_18:2(9,12)",0.686,0.90285,0,0.158885,Some,None,,0,0,0,0,0,,15400,,15800,17500,12175.7548,0,1240,2085,1750,0,1905
N2636,5.33,769.50191,769.50251,0.779724552,C42H75O10P,CCCCCC=CCC=CCCCCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:2_18:2,"PG 18:2(6,9)_18:2(9,12)",0.708666667,0.870263333,0,0.157893,Some,None,,0,0,0,0,0,,15400,,15800,17500,18850,0,1240,2085,1750,0,1905
N2636,5.33,769.50191,769.50251,0.779724552,C42H75O10P,CCCCCCCCC=CCC=CCCCCC(=O)OC(COC(=O)CCCCC=CCC=CCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 18:2_18:2,"PG 18:2(6,9)_18:2(6,9)",0.72,0.85397,0,0.157397,Some,None,,0,0,0,0,0,,0,,0,0,6674.245197,0,0,0,0,0,0
N2650,5.348,492.34547,492.34595,0.974924238,C25H52NO6P,CCCCCCC=CCCCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M-H]-,LPE O-20:1,LPE O-20:1(13),0.805,0.967185,0,0.1772185,All,None,0,,0,,,,,,,,,,,,0,0,0,0
N2650,5.348,492.34547,492.34595,0.974924238,C25H52NO6P,CCCCCCCCC=CCCCCCCCCCCOCC(O)COP(=O)(O)OCCN,[M-H]-,LPE O-20:1,LPE O-20:1(11),0.891,0.496555,0,0.1387555,All,None,0,,19200,,,,,,,,,,,,26500,26900,22500,25800
N2697,5.393,793.50242,793.50251,0.113421191,C44H75O10P,CCC=CCC=CCC=CCC=CCC=CCC=CCCC(=O)OC(COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,[M-H]-,PG 16:0_22:6,"PG 16:0_22:6(4,7,10,13,16,19)",0.531,0.880263333,0.109593309,0.228800981,Some,Some,,15800,14300,9880,0,0,,0,0,0,3190,0,29100,33600,31100,28700,27700,27200
N2698,5.394,855.50302,855.5029,0.140268373,C45H77O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(7)_20:4(8,11,14,17)",0.394857143,0.696768571,0.216510091,0.282370644,Some,Some,,0,1619.968592,1587.481574,650.2577561,560.5073365,0,3229.487179,6114.847489,3980.586451,4832.392964,0,3303.165942,3614.532277,2402.538189,3329.686868,0,4196.57261
N2698,5.394,855.50302,855.5029,0.140268373,C45H77O13P,CCC=CCC=CCC=CCC=CCCCCCCC(=O)OC(COC(=O)CCCCCCCC=CCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(9)_20:4(8,11,14,17)",0.193333333,0.715187778,0.171559312,0.228099561,All,Some,,0,1966.381519,3038.893299,1643.640454,1230.083727,0,3610.25641,2774.190521,3021.557128,2922.004647,0,5842.158597,4113.493724,7263.759568,4423.497047,0,4946.690796
N2698,5.394,855.50302,855.5029,0.140268373,C45H77O13P,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(COC(=O)CCCCCC=CCCCCCCCC)COP(=O)(O)OC1C(O)C(O)C(O)C(O)C1O,[M-H]-,PI 16:1_20:4,"PI 16:1(7)_20:4(5,8,11,14)",0.472,0.729675,0.126581797,0.221432937,Some,Some,,0,13913.64989,20373.62513,10506.10179,10009.40894,0,6360.25641,8810.96199,8197.856421,8245.60239,0,26754.67546,20871.974,25633.70224,20646.81609,0,25456.73659
